15,15,15,4,4,13,13,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,14,14,14,14,
15,15,15,4,13,13,13,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,14,14,14,14,4,
15,15,4,4,13,13,13,1,1,1,1,1,1,1,1,7,7,7,1,1,1,14,14,14,14,14,4,
15,4,4,13,13,13,1,1,1,1,1,1,1,1,1,7,7,7,1,1,14,14,14,14,14,14,4,
15,4,13,13,13,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,14,14,14,14,14,14,4,
4,4,13,13,13,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,14,14,14,14,14,4,4,
4,13,13,13,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,14,14,14,14,4,4,4,
4,13,13,13,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,14,14,14,14,4,4,4,4,
13,13,13,13,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,14,14,14,14,4,4,4,4,
13,3,13,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1,14,14,14,14,14,4,4,4,
3,3,13,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,14,14,14,14,14,4,4,4,
3,13,13,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,14,14,14,14,14,14,14,4,4,
13,13,6,6,1,1,1,1,1,1,1,7,7,1,1,1,1,1,15,15,14,15,15,14,14,4,4,
13,13,6,6,6,1,1,1,1,1,1,7,7,1,1,1,1,1,15,15,15,15,15,14,14,14,4,
13,6,6,6,6,6,1,1,1,1,1,7,7,7,1,1,1,15,15,15,15,15,15,14,14,14,4,
6,6,6,6,6,6,1,1,1,1,1,7,7,7,7,1,1,15,15,15,15,15,15,15,14,14,4,
6,6,6,6,6,6,6,1,1,1,1,1,7,7,7,7,1,1,15,15,15,15,15,14,14,4,4,
9,9,6,6,6,6,6,6,1,1,1,1,1,7,7,7,1,1,15,15,15,15,14,14,14,4,4,
9,9,9,6,6,6,6,6,6,1,1,1,1,1,7,7,7,1,1,1,15,15,14,14,14,14,4,
9,6,6,6,9,6,6,6,1,1,1,1,1,1,7,7,7,1,1,1,1,14,14,14,14,4,4,
6,6,9,9,9,9,6,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,14,14,14,4,4,
6,9,9,9,9,6,6,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,14,14,4,4,4,
